drawNumber,drawDate,drawDateTime,drawName,drawSize,drawCRS,drawText2,drawCutOff,drawDistributionAsOn,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,dd11,dd12,dd13,dd14,dd15,dd16,dd17,dd18
376,2025-10-29,"October 29, 2025 at 13:45:39 UTC",French language proficiency (Version 1),"6,000",416,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","September 8, 2025 at 15:27:09 UTC","October 26, 2025",306,"25,997","69,503","12,051","12,092","14,727","15,792","14,841","72,542","14,089","14,766","14,998","14,820","13,869","52,468","19,410","8,027","248,253"
375,2025-10-28,"October 28, 2025 at 13:43:34 UTC",Canadian Experience Class,"1,000",533,Canadian Experience Class,"March 21, 2025 at 04:16:27 UTC","October 26, 2025",306,"25,997","69,503","12,051","12,092","14,727","15,792","14,841","72,542","14,089","14,766","14,998","14,820","13,869","52,468","19,410","8,027","248,253"
374,2025-10-27,"October 27, 2025 at 14:49:22 UTC",Provincial Nominee Program,302,761,Provincial Nominee Program,"September 26, 2025 at 02:14:06 UTC","October 26, 2025",306,"25,997","69,503","12,051","12,092","14,727","15,792","14,841","72,542","14,089","14,766","14,998","14,820","13,869","52,468","19,410","8,027","248,253"
373,2025-10-15,"October 15, 2025 15:55:18 UTC",Healthcare and social services occupations (Version 2),"2,500",472,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","May 12, 2025 at 23:17:30 UTC","October 13, 2025",345,"25,411","70,641","12,289","12,571","15,370","15,698","14,713","72,026","13,923","14,694","14,918","14,783","13,708","52,448","19,496","7,975","248,342"
372,2025-10-14,"October 14, 2025 at 14:34:42 UTC",Provincial Nominee Program,345,778,Provincial Nominee Program,"July 17, 2025 at 19:58:49 UTC","October 13, 2025",345,"25,411","70,641","12,289","12,571","15,370","15,698","14,713","72,026","13,923","14,694","14,918","14,783","13,708","52,448","19,496","7,975","248,342"
371,2025-10-06,"October 06, 2025 at 13:59:15 UTC",French language proficiency (Version 1),"4,500",432,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","June 13, 2025 at 19:07:01 UTC","September 28, 2025",288,"24,531","70,583","12,255","12,473","15,150","15,781","14,924","74,481","14,806","16,354","14,820","14,839","13,662","53,066","19,963","8,081","250,993"
370,2025-10-01,"October 01, 2025 at 14:22:57 UTC",Canadian Experience Class,"1,000",534,Canadian Experience Class,"February 21, 2025 at 04:01:57 UTC","September 28, 2025",288,"24,531","70,583","12,255","12,473","15,150","15,781","14,924","74,481","14,806","16,354","14,820","14,839","13,662","53,066","19,963","8,081","250,993"
369,2025-09-29,"September 29, 2025 at 14:30:10 UTC",Provincial Nominee Program,291,855,Provincial Nominee Program,"April 08, 2025 at 01:25:29 UTC","September 28, 2025",288,"24,531","70,583","12,255","12,473","15,150","15,781","14,924","74,481","14,806","16,354","14,820","14,839","13,662","53,066","19,963","8,081","250,993"
368,2025-09-18,"September 18, 2025 at 13:53:39 UTC",Trade occupations (Version 2),"1,250",505,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","November 05, 2024 at 22:36:09 UTC","September 14, 2025",220,"24,870","71,427","12,341","12,555","15,569","16,158","14,804","74,178","14,719","16,312","14,822","14,714","13,611","52,883","19,978","8,074","251,630"
367,2025-09-17,"September 17, 2025 at 15:36:53 UTC",Education occupations (Version 1),"2,500",462,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","July 09, 2025 at 04:24:19 UTC","September 14, 2025",220,"24,870","71,427","12,341","12,555","15,569","16,158","14,804","74,178","14,719","16,312","14,822","14,714","13,611","52,883","19,978","8,074","251,630"
366,2025-09-15,"September 15, 2025 at 15:05:49 UTC",Provincial Nominee Program,228,746,Provincial Nominee Program,"March 31, 2025 at 13:39:06 UTC","September 14, 2025",220,"24,870","71,427","12,341","12,555","15,569","16,158","14,804","74,178","14,719","16,312","14,822","14,714","13,611","52,883","19,978","8,074","251,630"
365,2025-09-04,"September 04, 2025 at 17:50:37 UTC",French language proficiency (Version 1),"4,500",446,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","June 16, 2025 at 07:21:06 UTC","September 1, 2025",246,"25,123","74,183","12,443","12,443","16,077","17,252","15,968","74,314","15,220","16,245","14,813","14,542","13,494","52,798","19,955","8,053","254,672"
364,2025-09-03,"September 03, 2025 at 15:01:02 UTC",Canadian Experience Class,"1,000",534,Canadian Experience Class,"August 14, 2025 at 08:28:38 UTC","September 1, 2025",246,"25,123","74,183","12,443","12,443","16,077","17,252","15,968","74,314","15,220","16,245","14,813","14,542","13,494","52,798","19,955","8,053","254,672"
363,2025-09-02,"September 02, 2025 at 15:41:02 UTC",Provincial Nominee Program,249,772,Provincial Nominee Program,"August 28, 2025 at 19:19:18 UTC","September 1, 2025",246,"25,123","74,183","12,443","12,443","16,077","17,252","15,968","74,314","15,220","16,245","14,813","14,542","13,494","52,798","19,955","8,053","254,672"
362,2025-08-19,"August 19, 2025 at 14:30:55 UTC",Healthcare and social services occupations (Version 2),"2,500",470,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","April 23, 2025 at 20:08:53 UTC","August 17, 2025",188,"22,930","75,011","12,409","12,349","17,035","17,339","15,879","73,920","15,116","16,222","14,639","14,488","13,455","53,461","20,424","8,179","254,113"
361,2025-08-18,"August 18, 2025 at 15:09:26 UTC",Provincial Nominee Program,192,800,Provincial Nominee Program,"February 11, 2025 at 19:17:09 UTC","August 17, 2025",188,"22,930","75,011","12,409","12,349","17,035","17,339","15,879","73,920","15,116","16,222","14,639","14,488","13,455","53,461","20,424","8,179","254,113"
360,2025-08-08,"August 08, 2025 at 15:36:25 UTC",French language proficiency (Version 1),"2,500",481,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","July 18, 2025 at 05:16:06 UTC","August 5, 2025",228,"24,165","76,004","12,975","12,890","16,836","17,383","15,920","73,839","15,201","16,142","14,652","14,456","13,388","53,590","20,534","8,225","256,585"
359,2025-08-07,"August 07, 2025 at 14:15:21 UTC",Canadian Experience Class,"1,000",534,Canadian Experience Class,"August 03, 2025 at 06:22:02 UTC","August 5, 2025",228,"24,165","76,004","12,975","12,890","16,836","17,383","15,920","73,839","15,201","16,142","14,652","14,456","13,388","53,590","20,534","8,225","256,585"
358,2025-08-06,"August 06, 2025 at 14:38:42 UTC",Provincial Nominee Program,225,739,Provincial Nominee Program,"April 23, 2025 at 06:35:51 UTC","August 5, 2025",228,"24,165","76,004","12,975","12,890","16,836","17,383","15,920","73,839","15,201","16,142","14,652","14,456","13,388","53,590","20,534","8,225","256,585"
357,2025-07-22,"July 12, 2025 at 16:27:45 UTC",Healthcare and social services occupations (Version 2),"4,000",475,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","March 13, 2025 at 13:08:29 UTC","July 20, 2025",200,"21,348","78,339","13,567","13,941","17,741","17,397","15,693","73,409","15,124","16,007","14,463","14,500","13,315","54,165","21,122","8,331","256,914"
356,2025-07-21,"July 21, 2025 at 14:03:32 UTC",Provincial Nominee Program,202,788,Provincial Nominee Program,"June 05, 2025 at 23:50:45 UTC","July 20, 2025",200,"21,348","78,339","13,567","13,941","17,741","17,397","15,693","73,409","15,124","16,007","14,463","14,500","13,315","54,165","21,122","8,331","256,914"
355,2025-07-08,"July 08, 2025 at 14:59:08 UTC",Canadian Experience Class,"3,000",518,Canadian Experience Class,"October 02, 2024 at 1:48:36 UTC","July 6, 2025",358,"22,591","77,550","13,342","13,830","17,534","17,309","15,535","72,608","15,069","15,786","14,341","14,315","13,097","53,697","21,135","8,285","256,224"
354,2025-07-07,"July 07, 2025 at 14:17:56 UTC",Provincial Nominee Program,356,750,Provincial Nominee Program,"March 19, 2025 at 04:09:09 UTC","July 6, 2025",358,"22,591","77,550","13,342","13,830","17,534","17,309","15,535","72,608","15,069","15,786","14,341","14,315","13,097","53,697","21,135","8,285","256,224"
353,2025-06-26,"June 26, 2025 at 12:48:05 UTC",Canadian Experience Class,"3,000",521,Canadian Experience Class,"November 21, 2024 at 15:56:13 UTC","June 22, 2025",471,"22,947","76,748","13,190","13,508","17,358","17,167","15,525","72,235","14,927","15,676","14,273","14,209","13,150","54,237","21,746","8,370","256,754"
352,2025-06-23,"June 23, 2025 at 15:42:14 UTC",Provincial Nominee Program,503,742,Provincial Nominee Program,"May 30, 2025 at 21:44:57 UTC","June 22, 2025",471,"22,947","76,748","13,190","13,508","17,358","17,167","15,525","72,235","14,927","15,676","14,273","14,209","13,150","54,237","21,746","8,370","256,754"
351,2025-06-12,"June 12, 2025 at 14:06:31 UTC",Canadian Experience Class,"3,000",529,Canadian Experience Class,"September 28, 2024 at 18:06:46 UTC","June 11, 2025",90,"25,053","76,289","13,134","13,419","17,163","17,113","15,460","71,927","14,930","15,669","14,264","14,095","12,969","54,039","21,782","8,377","257,557"
350,2025-06-10,"June 10, 2025 at 13:57:34 UTC",Provincial Nominee Program,125,784,Provincial Nominee Program,"September 12, 2024 at 18:12:15 UTC","June 9, 2025",102,"24,823","76,090","13,101","13,366","17,093","17,077","15,453","71,668","14,911","15,614","14,211","14,026","12,906","53,926","21,705","8,339","256,653"
349,2025-06-04,"June 04, 2025 at 13:54:24 UTC",Healthcare and social services occupations (Version 2),500,504,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","March 31, 2025 at 06:47:23 UTC","June 1, 2025",274,"24,650","75,330","12,906","13,145","16,866","17,027","15,386","71,068","14,768","15,490","14,089","13,850","12,871","53,714","21,682","8,312","255,030"
348,2025-06-02,"June 02, 2025 at 17:04:42 UTC",Provincial Nominee Program,277,726,Provincial Nominee Program,"September 24, 2024 at 15:46:19 UTC","June 1, 2025",274,"24,650","75,330","12,906","13,145","16,866","17,027","15,386","71,068","14,768","15,490","14,089","13,850","12,871","53,714","21,682","8,312","255,030"
